ts,cycle,phase,gpu,device_used_MiB,device_total_MiB,device_free_MiB,torch_reserved_MiB,torch_allocated_MiB,torch_max_reserved_MiB,torch_num_segments,torch_frag_MiB
1783953192.54,0,init,0,59777,81559,21782,0,0,0,-1,0
1783953192.97,1,awake,0,59777,81559,21782,0,0,0,-1,0
1783953193.67,1,asleep,0,2001,81559,79558,0,0,0,-1,0
1783953193.8,1,woke,0,57641,81559,23918,0,0,0,-1,0
1783953193.93,2,awake,0,57641,81559,23918,0,0,0,-1,0
1783953193.99,2,asleep,0,2001,81559,79558,0,0,0,-1,0
1783953194.14,2,woke,0,57641,81559,23918,0,0,0,-1,0
1783953194.28,3,awake,0,57641,81559,23918,0,0,0,-1,0
1783953194.34,3,asleep,0,2001,81559,79558,0,0,0,-1,0
1783953194.51,3,woke,0,57641,81559,23918,0,0,0,-1,0
1783953194.64,4,awake,0,57641,81559,23918,0,0,0,-1,0
1783953194.7,4,asleep,0,2001,81559,79558,0,0,0,-1,0
1783953194.85,4,woke,0,57641,81559,23918,0,0,0,-1,0
1783953194.96,5,awake,0,57641,81559,23918,0,0,0,-1,0
1783953195.02,5,asleep,0,2001,81559,79558,0,0,0,-1,0
1783953195.19,5,woke,0,57641,81559,23918,0,0,0,-1,0
1783953195.31,6,awake,0,57641,81559,23918,0,0,0,-1,0
1783953195.37,6,asleep,0,2001,81559,79558,0,0,0,-1,0
1783953195.52,6,woke,0,57641,81559,23918,0,0,0,-1,0
1783953195.63,7,awake,0,57641,81559,23918,0,0,0,-1,0
1783953195.69,7,asleep,0,2001,81559,79558,0,0,0,-1,0
1783953195.84,7,woke,0,57641,81559,23918,0,0,0,-1,0
1783953195.95,8,awake,0,57641,81559,23918,0,0,0,-1,0
1783953196.01,8,asleep,0,2001,81559,79558,0,0,0,-1,0
1783953196.16,8,woke,0,57641,81559,23918,0,0,0,-1,0
1783953196.29,9,awake,0,57641,81559,23918,0,0,0,-1,0
1783953196.35,9,asleep,0,2001,81559,79558,0,0,0,-1,0
1783953196.51,9,woke,0,57641,81559,23918,0,0,0,-1,0
1783953196.62,10,awake,0,57641,81559,23918,0,0,0,-1,0
1783953196.68,10,asleep,0,2001,81559,79558,0,0,0,-1,0
1783953196.85,10,woke,0,57641,81559,23918,0,0,0,-1,0
1783953196.97,11,awake,0,57641,81559,23918,0,0,0,-1,0
1783953197.02,11,asleep,0,2001,81559,79558,0,0,0,-1,0
1783953197.2,11,woke,0,57641,81559,23918,0,0,0,-1,0
1783953197.31,12,awake,0,57641,81559,23918,0,0,0,-1,0
1783953197.37,12,asleep,0,2001,81559,79558,0,0,0,-1,0
1783953197.52,12,woke,0,57641,81559,23918,0,0,0,-1,0
1783953197.65,13,awake,0,57641,81559,23918,0,0,0,-1,0
1783953197.71,13,asleep,0,2001,81559,79558,0,0,0,-1,0
1783953197.86,13,woke,0,57641,81559,23918,0,0,0,-1,0
1783953197.97,14,awake,0,57641,81559,23918,0,0,0,-1,0
1783953198.03,14,asleep,0,2001,81559,79558,0,0,0,-1,0
1783953198.18,14,woke,0,57641,81559,23918,0,0,0,-1,0
1783953198.29,15,awake,0,57641,81559,23918,0,0,0,-1,0
1783953198.35,15,asleep,0,2001,81559,79558,0,0,0,-1,0
1783953198.5,15,woke,0,57641,81559,23918,0,0,0,-1,0
1783953198.64,16,awake,0,57641,81559,23918,0,0,0,-1,0
1783953198.73,16,asleep,0,2001,81559,79558,0,0,0,-1,0
1783953198.88,16,woke,0,57641,81559,23918,0,0,0,-1,0
1783953198.99,17,awake,0,57641,81559,23918,0,0,0,-1,0
1783953199.05,17,asleep,0,2001,81559,79558,0,0,0,-1,0
1783953199.2,17,woke,0,57641,81559,23918,0,0,0,-1,0
1783953199.33,18,awake,0,57641,81559,23918,0,0,0,-1,0
1783953199.39,18,asleep,0,2001,81559,79558,0,0,0,-1,0
1783953199.54,18,woke,0,57641,81559,23918,0,0,0,-1,0
1783953199.65,19,awake,0,57641,81559,23918,0,0,0,-1,0
1783953199.73,19,asleep,0,2001,81559,79558,0,0,0,-1,0
1783953199.86,19,woke,0,57641,81559,23918,0,0,0,-1,0
1783953199.98,20,awake,0,57641,81559,23918,0,0,0,-1,0
1783953200.04,20,asleep,0,2001,81559,79558,0,0,0,-1,0
1783953200.19,20,woke,0,57641,81559,23918,0,0,0,-1,0
