ts,cycle,phase,gpu,device_used_MiB,device_total_MiB,device_free_MiB,torch_reserved_MiB,torch_allocated_MiB,torch_max_reserved_MiB,torch_num_segments,torch_frag_MiB
1783953243.51,0,init,0,59763,81559,21796,0,0,0,-1,0
1783953243.66,1,awake,0,59763,81559,21796,0,0,0,-1,0
1783953244.36,1,asleep,0,1959,81559,79600,0,0,0,-1,0
1783953244.56,1,woke,0,57599,81559,23960,0,0,0,-1,0
1783953244.83,2,awake,0,57599,81559,23960,0,0,0,-1,0
1783953245.1,2,asleep,0,1959,81559,79600,0,0,0,-1,0
1783953245.25,2,woke,0,57599,81559,23960,0,0,0,-1,0
1783953245.38,3,awake,0,57599,81559,23960,0,0,0,-1,0
1783953245.44,3,asleep,0,1959,81559,79600,0,0,0,-1,0
1783953245.59,3,woke,0,57599,81559,23960,0,0,0,-1,0
1783953245.71,4,awake,0,57599,81559,23960,0,0,0,-1,0
1783953245.76,4,asleep,0,1959,81559,79600,0,0,0,-1,0
1783953245.94,4,woke,0,57599,81559,23960,0,0,0,-1,0
1783953246.05,5,awake,0,57599,81559,23960,0,0,0,-1,0
1783953246.11,5,asleep,0,1959,81559,79600,0,0,0,-1,0
1783953246.28,5,woke,0,57599,81559,23960,0,0,0,-1,0
1783953246.41,6,awake,0,57599,81559,23960,0,0,0,-1,0
1783953246.49,6,asleep,0,1959,81559,79600,0,0,0,-1,0
1783953246.62,6,woke,0,57599,81559,23960,0,0,0,-1,0
1783953246.74,7,awake,0,57599,81559,23960,0,0,0,-1,0
1783953246.8,7,asleep,0,1959,81559,79600,0,0,0,-1,0
1783953246.95,7,woke,0,57599,81559,23960,0,0,0,-1,0
1783953247.07,8,awake,0,57599,81559,23960,0,0,0,-1,0
1783953247.13,8,asleep,0,1959,81559,79600,0,0,0,-1,0
1783953247.28,8,woke,0,57599,81559,23960,0,0,0,-1,0
1783953247.39,9,awake,0,57599,81559,23960,0,0,0,-1,0
1783953247.45,9,asleep,0,1959,81559,79600,0,0,0,-1,0
1783953247.6,9,woke,0,57599,81559,23960,0,0,0,-1,0
1783953247.72,10,awake,0,57599,81559,23960,0,0,0,-1,0
1783953247.78,10,asleep,0,1959,81559,79600,0,0,0,-1,0
1783953247.93,10,woke,0,57599,81559,23960,0,0,0,-1,0
1783953248.04,11,awake,0,57599,81559,23960,0,0,0,-1,0
1783953248.1,11,asleep,0,1959,81559,79600,0,0,0,-1,0
1783953248.25,11,woke,0,57599,81559,23960,0,0,0,-1,0
1783953248.38,12,awake,0,57599,81559,23960,0,0,0,-1,0
1783953248.44,12,asleep,0,1959,81559,79600,0,0,0,-1,0
1783953248.59,12,woke,0,57599,81559,23960,0,0,0,-1,0
1783953248.72,13,awake,0,57599,81559,23960,0,0,0,-1,0
1783953248.79,13,asleep,0,1959,81559,79600,0,0,0,-1,0
1783953248.95,13,woke,0,57599,81559,23960,0,0,0,-1,0
1783953249.09,14,awake,0,57599,81559,23960,0,0,0,-1,0
1783953249.15,14,asleep,0,1959,81559,79600,0,0,0,-1,0
1783953249.3,14,woke,0,57599,81559,23960,0,0,0,-1,0
1783953249.43,15,awake,0,57599,81559,23960,0,0,0,-1,0
1783953249.49,15,asleep,0,1959,81559,79600,0,0,0,-1,0
1783953249.64,15,woke,0,57599,81559,23960,0,0,0,-1,0
1783953249.77,16,awake,0,57599,81559,23960,0,0,0,-1,0
1783953249.86,16,asleep,0,1959,81559,79600,0,0,0,-1,0
1783953249.99,16,woke,0,57599,81559,23960,0,0,0,-1,0
1783953250.12,17,awake,0,57599,81559,23960,0,0,0,-1,0
1783953250.18,17,asleep,0,1959,81559,79600,0,0,0,-1,0
1783953250.33,17,woke,0,57599,81559,23960,0,0,0,-1,0
1783953250.45,18,awake,0,57599,81559,23960,0,0,0,-1,0
1783953250.53,18,asleep,0,1959,81559,79600,0,0,0,-1,0
1783953250.69,18,woke,0,57599,81559,23960,0,0,0,-1,0
1783953250.83,19,awake,0,57599,81559,23960,0,0,0,-1,0
1783953250.89,19,asleep,0,1959,81559,79600,0,0,0,-1,0
1783953251.04,19,woke,0,57599,81559,23960,0,0,0,-1,0
1783953251.15,20,awake,0,57599,81559,23960,0,0,0,-1,0
1783953251.21,20,asleep,0,1959,81559,79600,0,0,0,-1,0
1783953251.36,20,woke,0,57599,81559,23960,0,0,0,-1,0
